symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-03-02 13:31:00+00:00,261.6,261.8,261.6,261.8,1246.0,40.0,261.629374
AAPL,2026-03-02 13:32:00+00:00,261.869,261.869,261.7001,261.7001,547.0,16.0,261.817275
AAPL,2026-03-02 13:33:00+00:00,261.7588,261.8417,261.72,261.72,1908.0,71.0,261.77341
AAPL,2026-03-02 13:34:00+00:00,261.81,261.81,261.81,261.81,790.0,53.0,261.81
AAPL,2026-03-02 13:35:00+00:00,262.0,262.0,261.94,261.94,654.0,37.0,261.969268
AAPL,2026-03-02 13:36:00+00:00,262.0624,262.1,262.0624,262.1,845.0,32.0,262.085341
AAPL,2026-03-02 13:37:00+00:00,261.94,261.94,261.77,261.77,1742.0,59.0,261.867782
AAPL,2026-03-02 13:39:00+00:00,261.8424,261.8424,261.8,261.8,1143.0,43.0,261.807301
AAPL,2026-03-02 13:40:00+00:00,261.9,262.0066,261.9,262.0066,1597.0,61.0,261.954316
AAPL,2026-03-02 13:41:00+00:00,262.07,262.18,262.07,262.18,1245.0,35.0,262.16498
AAPL,2026-03-02 13:42:00+00:00,261.97,261.97,261.95,261.96,3112.0,93.0,261.954246
AAPL,2026-03-02 13:43:00+00:00,261.87,262.0,261.87,262.0,1199.0,24.0,261.931408
AAPL,2026-03-02 13:44:00+00:00,261.95,262.04,261.95,261.96,1644.0,39.0,262.00913
AAPL,2026-03-02 13:45:00+00:00,261.97,262.1103,261.95,262.1103,2385.0,40.0,261.961315
AAPL,2026-03-02 13:47:00+00:00,261.94,261.99,261.94,261.99,736.0,23.0,261.964945
AAPL,2026-03-02 13:48:00+00:00,261.93,261.93,261.74,261.74,1739.0,75.0,261.846301
AAPL,2026-03-02 13:50:00+00:00,261.85,262.07,261.85,262.07,1809526.0,78.0,262.022396
AAPL,2026-03-02 13:51:00+00:00,262.0501,262.15,262.0,262.05,3816.0,80.0,262.059649
AAPL,2026-03-02 13:52:00+00:00,262.1,262.1,261.99,262.01,5460.0,61.0,262.053265
AAPL,2026-03-02 13:53:00+00:00,261.9402,262.15,261.9402,262.15,4226.0,74.0,262.072089
AAPL,2026-03-02 13:54:00+00:00,262.06,262.0606,262.0,262.0,844.0,24.0,262.03927
AAPL,2026-03-02 13:55:00+00:00,262.0,262.0239,261.92,261.95,7041.0,113.0,261.966685
AAPL,2026-03-02 13:56:00+00:00,262.05,262.05,261.88,261.88,6388.0,83.0,262.010019
AAPL,2026-03-02 13:57:00+00:00,261.86,261.9,261.85,261.85,1390.0,43.0,261.880452
AAPL,2026-03-02 13:58:00+00:00,261.77,261.77,261.25,261.26,6564.0,308.0,261.647454
AAPL,2026-03-02 13:59:00+00:00,261.12,261.5,261.12,261.5,1362.0,69.0,261.377292
AAPL,2026-03-02 14:00:00+00:00,261.5,261.69,261.39,261.69,2497.0,77.0,261.557408
AAPL,2026-03-02 14:01:00+00:00,261.56,261.56,261.51,261.51,2134.0,61.0,261.539032
AAPL,2026-03-02 14:03:00+00:00,261.5,261.5,261.48,261.48,2046.0,62.0,261.497267
AAPL,2026-03-02 14:04:00+00:00,261.36,261.4,261.36,261.4,930.0,39.0,261.371429
